ICAO Manufacturer   Type            winglets       WV             MTOMkg         MLMkg          MZFMkg         OEMkg          MPMkg          MZFM-MTOM      OEM_MTOM       MPM_MTOM       Sref_m2        span_m         bf_m           delta2         COSsweep       AR             psi0           XhiDO          wing_constant  j2             j1             CLo            etaL_Do        OPR            BPR            FPR            F00ISAkn       mfmaxTO_kg_s   mfFISLSkg_s    MDO            CTdes          eta1           eta2           Mec            Tec            TETmaxclimb    TETmaxt_o      etaPC          MMO            FLMO           Vcasasl        pimaxPa        pinfcoPa       FFLyear        noengines     
B788   Boeing         B787-8                  0           1   227930.0       172365.0       161025.0       117707.0       43318.00      0.7064669      0.5164173      0.1900496       377.0000       60.12000       5.770000      0.1842229E-01  0.8461931       9.587306       6.382580      0.9680831      0.7837572      0.8731782      0.7708345E-01  0.5083992       8.025699       42.93635       9.008244       1.650000       633.0492       4.822892      0.4530811      0.8154250      0.2381075E-01  0.4116145      0.4450625      0.7635087       6.062665       1687.827       6.366802      0.9091438      0.9000000       431.0006      0.5700000       24977.43       36140.62       2009.000       2.000000    
B789   Boeing         B787-9                  0           1   254011.0       192777.0       181437.0       128850.0       52587.00      0.7142879      0.5072615      0.2070265       377.0000       60.12000       5.770000      0.1842229E-01  0.8461931       9.587306       6.477888      0.9682584      0.7836844      0.8731561      0.7705318E-01  0.5088016       8.027180       42.93635       9.008244       1.650000       633.0492       4.822892      0.4530811      0.8154250      0.2385603E-01  0.4121471      0.4450625      0.7635087       6.129298       1706.377       6.436779      0.9156554      0.9000000       431.0335      0.5700000       24977.43       36140.62       2013.000       2.000000    
E135   Embraer        EMB-135LR               0           0   20000.00       18500.00       15999.00       11500.00       4499.000      0.7999500      0.5750000      0.2249500       51.18000       20.04000       2.250000      0.2521155E-01  0.9238795       7.846847       8.018356       1.012322      0.7087483      0.8692992      0.7386971E-01  0.5620096       3.431268       17.22000       4.810000       1.650000       66.10000      0.7178000      0.8980000E-01  0.7044500      0.3696837E-01  0.2727654      0.5405725      0.6800022       5.917522       1600.148       6.036063      0.8807092      0.7800000       370.0000      0.5016000       18996.46       38407.92       1995.000       2.000000    
E145   Embraer        EMB-145LR               0           0   22000.00       19300.00       17900.00       12114.00       5786.000      0.8136364      0.5506364      0.2630000       51.18000       20.04000       2.250000      0.2521155E-01  0.9238795       7.846847       8.379769       1.017505      0.7063788      0.8684826      0.7327462E-01  0.5697349       3.597812       19.06000       4.720000       1.650000       74.32000      0.8244000      0.9500000E-01  0.7044500      0.3824575E-01  0.2920844      0.5426200      0.6775945       5.917909       1600.148       6.036063      0.8807092      0.7800000       370.0000      0.5016000       18996.46       38407.92       1995.000       2.000000    
E170   Embraer        EMB-170LR               1           0   37200.00       32800.00       29800.00       20700.00       9100.000      0.8010753      0.5564516      0.2446237       72.72000       25.30000       3.150000      0.3100345E-01  0.9238795       8.802117       8.103000       1.005218      0.7441711      0.8692839      0.7353287E-01  0.5984689       4.066066       23.31400       5.130000       1.650000       120.1140       1.315160      0.1290800      0.7334000      0.3543004E-01  0.2839992      0.5332925      0.6883529       6.056767       1648.953       6.220163      0.8961229      0.8200000       410.0000      0.5244000       20882.79       37618.41       2002.000       2.000000    
E195   Embraer        EMB-195STD              1           0   48790.00       45000.00       42500.00       28700.00       13800.00      0.8710802      0.5882353      0.2828448       92.53000       27.73000       3.000000      0.2340846E-01  0.9238795       8.310309       8.128162       1.003277      0.7659466      0.8701411      0.7438819E-01  0.5835811       4.471914       26.53529       5.090000       1.650000       161.9812       1.671294      0.1728235      0.7575250      0.3490894E-01  0.3102810      0.5342025      0.6873270       6.070895       1660.976       6.265516      0.9000699      0.8200000       410.0000      0.5244000       20882.79       37618.41       2004.000       2.000000    
MD82   Boeing         MD-82                   0           0   67812.00       58967.00       55338.00       35369.00       19969.00      0.8160502      0.5215744      0.2944759       112.3000       32.85000       3.350000      0.2079931E-01  0.9238795       9.609283       8.955935       1.034594      0.7146881      0.8660721      0.7186490E-01  0.6123139       3.987672       19.50750       1.722500       1.650000       185.4800       2.621000      0.2743000      0.7200000      0.3761380E-01  0.2993889      0.6108131      0.5825978       5.437459       1461.952       5.514761      0.8408639      0.8400000       370.0000      0.5358000       21865.62       37237.40       1981.000       2.000000    
MD83   Boeing         MD-83                   0           0   72575.00       63276.00       55338.00       36145.00       19193.00      0.7624940      0.4980365      0.2644575       112.3000       32.85000       3.350000      0.2079931E-01  0.9238795       9.609283       8.856054       1.046265      0.7086216      0.8669025      0.7305843E-01  0.6217540       3.897540       20.27000       1.700000       1.650000       193.0400       2.708000      0.2688000      0.7200000      0.3790751E-01  0.2904781      0.6113250      0.5817760       5.567055       1497.072       5.647240      0.8505684      0.8400000       370.0000      0.5358000       21865.62       37237.40       1984.000       2.000000    
GLF5   Gulfstream     G-550                   0           0   41277.00       34155.00       23587.00       21909.00       1678.000      0.5714321      0.5307798      0.4065218E-01   105.5600       28.50000       2.500000      0.1538935E-01  0.9063078       7.694676       6.702320      0.9947130      0.7652537      0.8727521      0.7720356E-01  0.5081574       5.501111       24.95000       4.050000       1.650000       137.5400       1.494000      0.1660000      0.7720000      0.2934403E-01  0.3670000      0.5578625      0.6588560       5.849906       1600.148       6.036063      0.8807092      0.8850000       510.0000      0.5614500       24176.15       36408.88       1995.000       2.000000    
CRJ9   Bombardier     CRJ-9                   1           0   38329.00       34065.00       32092.00       21350.00       10742.00      0.8372772      0.5570195      0.2802578       69.00000       22.62000       2.690000      0.2828456E-01  0.8987940       7.415426       7.940978       1.011392      0.7369789      0.8694367      0.7397265E-01  0.5499437       4.185394       23.44833       5.130000       1.650000       120.9433       1.326367      0.1297667      0.7527000      0.3433649E-01  0.3040679      0.5332925      0.6883529       5.960741       1629.387       6.146358      0.8898340      0.8500000       410.0000      0.5415000       22367.12       37049.99       1999.000       2.000000    
DC93   Boeing         DC-9-32                 0           0   48988.00       44906.00       39463.00       25789.00       13674.00      0.8055646      0.5264350      0.2791296       93.00000       28.44000       3.350000      0.2774984E-01  0.9135454       8.697136       7.952009       1.029517      0.7185047      0.8683190      0.7362577E-01  0.5651646       3.479194       16.31000       1.026667       1.650000       130.4800       2.134000      0.2732000      0.7334000      0.3430840E-01  0.2565000      0.6266434      0.5564336       4.641949       1244.131       4.693099      0.7850286      0.8400000       370.0000      0.5358000       21865.62       37237.40       1967.000       2.000000    
