icao_code,iata_code,latitude,longitude,elevation_ft,airport_name,airport_type,iso_country,iso_region,municipality,scheduled_service
RPMV,IPE,7.785560131072997,122.60199737548828,0.0,Ipil Airport,small_airport,PH,PH-ZSI,Ipil,no
RPMW,TDG,9.072002000000001,126.17132,16.0,Tandag Airport,medium_airport,PH,PH-SUR,Tandag,yes
RPMX,xxx,8.102058999999999,122.670422,0.0,Liloy Airport,small_airport,PH,PH-ZAN,Liloy,no
RPMY,CGY,8.612203,124.456496,190.0,Laguindingan Airport,medium_airport,PH,PH-MSR,Cagayan de Oro,yes
RPMZ,ZAM,6.922420024871826,122.05999755859376,33.0,Zamboanga International Airport,medium_airport,PH,PH-ZAS,Zamboanga City,yes
RPNS,IAO,9.8591,126.014,10.0,Siargao Airport,small_airport,PH,PH-SUN,Del Carmen,yes
RPPN,xxx,11.051744,114.284154,0.0,Rancudo Airfield,small_airport,PH,PH-PLW,Kalayaan (Pag-asa Island / Thitu Island),no
RPSB,xxx,11.1624,123.7848,60.0,Bantayan Airport,small_airport,PH,PH-CEB,xxx,no
RPSD,RZP,11.05065,119.51926599999999,80.0,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,small_airport,PH,PH-PLW,Taytay,yes
RPSM,xxx,10.187299728393556,124.78199768066406,328.0,Maasin Airport,small_airport,PH,PH-SLE,xxx,no
RPSN,xxx,10.059036744,124.42557334899999,7.0,Ubay Airport,small_airport,PH,PH-BOH,Ubay,no
RPSP,TAG,9.566667,123.775,0.0,Bohol-Panglao International Airport,medium_airport,PH,PH-BOH,Panglao,no
RPSV,SWL,10.524298,119.272899,24.0,San Vicente Airport,small_airport,PH,PH-PLW,San Vicente,yes
RPUA,xxx,11.35946,120.72668,0.0,Pamalican Airstrip,small_airport,PH,PH-PLW,Agutaya,no
RPUB,BAG,16.375099182128903,120.62000274658205,4251.0,Loakan Airport,medium_airport,PH,PH-BEN,Baguio City,yes
RPUD,DTE,14.129199981689453,122.9800033569336,10.0,Daet Airport,medium_airport,PH,PH-CAN,Daet,no
RPUE,xxx,12.07522,121.38847,0.0,Semirara Airport,small_airport,PH,PH-ANT,Caluya,no
RPUF,xxx,14.98724,120.492554,151.0,Basa Air Base,small_airport,PH,PH-PAM,Floridablanca,no
RPUG,xxx,16.034966,120.24219099999999,7.0,Lingayen Airport,small_airport,PH,PH-PAN,Lingayen,no
RPUH,SJI,12.361499786399998,121.04699707,14.0,San Jose Airport,medium_airport,PH,PH-MDC,San Jose,yes
RPUI,xxx,15.324755668599998,119.96949768100001,11.0,Iba Airport,small_airport,PH,PH-ZMB,Iba,no
RPUJ,xxx,14.94634,120.19019399999999,200.0,Castillejos - Jesus F Magsaysay Airfield,small_airport,PH,PH-ZMB,Castillejos,no
RPUK,xxx,13.422641,121.201687,11.0,Calapan National Airport,small_airport,PH,PH-MDR,Calapan,no
RPUL,xxx,13.955,121.125,1220.0,Basilio Fernando Air Base,small_airport,PH,PH-BTG,Lipa,no
